                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.06256,                 0.9977,                      1,                 0.3157,               0.000714,               0.000714,               0.000714
                      2,                 0.0313,                0.99839,                      1,                0.31504,              0.0007133,              0.0007133,              0.0007133
                      3,                0.02703,                0.99816,                      1,                0.31546,             0.00071121,             0.00071121,             0.00071121
                      4,                 0.0243,                0.99839,                      1,                0.31547,             0.00070774,             0.00070774,             0.00070774
                      5,                0.01998,                0.99839,                      1,                0.31534,              0.0007029,              0.0007029,              0.0007029
                      6,                0.02467,                0.99908,                      1,                0.31465,              0.0006967,              0.0006967,              0.0006967
                      7,                0.01913,                0.99724,                      1,                0.31603,             0.00068918,             0.00068918,             0.00068918
                      8,                0.01714,                0.99908,                      1,                0.31455,             0.00068036,             0.00068036,             0.00068036
                      9,                0.01832,                0.99862,                      1,                0.31464,             0.00067028,             0.00067028,             0.00067028
                     10,                0.01582,                0.99885,                      1,                 0.3143,             0.00065898,             0.00065898,             0.00065898
                     11,                0.01683,                0.99793,                      1,                0.31506,              0.0006465,              0.0006465,              0.0006465
                     12,                 0.0179,                0.99908,                      1,                0.31424,             0.00063289,             0.00063289,             0.00063289
                     13,                0.01796,                0.99839,                      1,                0.31524,             0.00061821,             0.00061821,             0.00061821
                     14,                0.01498,                 0.9977,                      1,                0.31534,             0.00060251,             0.00060251,             0.00060251
                     15,                0.01793,                0.99885,                      1,                0.31468,             0.00058585,             0.00058585,             0.00058585
                     16,                0.01283,                0.99931,                      1,                0.31405,             0.00056831,             0.00056831,             0.00056831
                     17,                0.01295,                0.99908,                      1,                0.31409,             0.00054995,             0.00054995,             0.00054995
                     18,                0.01342,                0.99862,                      1,                 0.3148,             0.00053084,             0.00053084,             0.00053084
                     19,                0.01551,                0.99885,                      1,                0.31434,             0.00051105,             0.00051105,             0.00051105
                     20,                 0.0129,                0.99908,                      1,                 0.3143,             0.00049068,             0.00049068,             0.00049068
                     21,                0.01118,                0.99885,                      1,                0.31435,             0.00046979,             0.00046979,             0.00046979
                     22,                0.01147,                0.99908,                      1,                0.31432,             0.00044846,             0.00044846,             0.00044846
                     23,                0.00964,                0.99885,                      1,                 0.3143,              0.0004268,              0.0004268,              0.0004268
                     24,                0.01101,                0.99908,                      1,                0.31412,             0.00040487,             0.00040487,             0.00040487
                     25,                0.01036,                0.99908,                      1,                0.31414,             0.00038276,             0.00038276,             0.00038276
                     26,                0.00876,                0.99885,                      1,                0.31427,             0.00036057,             0.00036057,             0.00036057
                     27,                0.00981,                0.99908,                      1,                0.31415,             0.00033838,             0.00033838,             0.00033838
                     28,                0.00804,                0.99885,                      1,                0.31421,             0.00031627,             0.00031627,             0.00031627
                     29,                0.00921,                0.99908,                      1,                0.31425,             0.00029434,             0.00029434,             0.00029434
                     30,                0.00766,                0.99954,                      1,                0.31389,             0.00027268,             0.00027268,             0.00027268
                     31,                0.00715,                0.99885,                      1,                0.31434,             0.00025135,             0.00025135,             0.00025135
                     32,                0.00756,                0.99931,                      1,                0.31408,             0.00023046,             0.00023046,             0.00023046
                     33,                0.00688,                0.99931,                      1,                0.31389,             0.00021009,             0.00021009,             0.00021009
                     34,                0.00737,                0.99908,                      1,                0.31417,              0.0001903,              0.0001903,              0.0001903
                     35,                  0.007,                0.99862,                      1,                 0.3144,             0.00017119,             0.00017119,             0.00017119
                     36,                 0.0072,                0.99908,                      1,                0.31411,             0.00015283,             0.00015283,             0.00015283
                     37,                0.00759,                0.99908,                      1,                0.31404,             0.00013529,             0.00013529,             0.00013529
                     38,                0.00638,                0.99931,                      1,                0.31399,             0.00011863,             0.00011863,             0.00011863
                     39,                0.00594,                0.99931,                      1,                0.31404,             0.00010293,             0.00010293,             0.00010293
                     40,                0.00508,                0.99908,                      1,                0.31405,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     41,                0.00599,                0.99954,                      1,                0.31385,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     42,                0.00576,                0.99908,                      1,                0.31398,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     43,                0.00539,                0.99931,                      1,                0.31394,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     44,                0.00624,                0.99931,                      1,                0.31396,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     45,                0.00523,                0.99908,                      1,                0.31402,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     46,                0.00472,                0.99908,                      1,                0.31402,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     47,                0.00547,                0.99908,                      1,                0.31404,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     48,                0.00472,                0.99908,                      1,                0.31402,               1.34e-05,               1.34e-05,               1.34e-05
                     49,                0.00649,                0.99908,                      1,                0.31404,             9.9269e-06,             9.9269e-06,             9.9269e-06
                     50,                0.00468,                0.99931,                      1,                0.31404,             7.8374e-06,             7.8374e-06,             7.8374e-06
