                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5869,                0.88158,                 1.0481,                0.85248,                0.59706,                0.66781,                0.35446,                 1.4807,                0.76073,                 1.0004,                   0.01,                   0.01,                   0.01
                      2,                 1.5572,                 0.8444,                 1.0425,                0.85081,                 0.5952,                  0.669,                0.33818,                 1.5293,                0.72801,                0.99929,              0.0099976,              0.0099976,              0.0099976
                      3,                 1.5597,                0.83382,                 1.0371,                0.84342,                  0.605,                0.68049,                0.35647,                 1.4754,                0.72557,                0.99071,              0.0099902,              0.0099902,              0.0099902
                      4,                 1.5523,                0.82502,                 1.0407,                0.85559,                0.59822,                 0.6803,                0.36092,                 1.4785,                0.71971,                0.99115,               0.009978,               0.009978,               0.009978
                      5,                 1.5411,                0.81614,                 1.0341,                0.84398,                0.59757,                0.67072,                0.35553,                  1.482,                0.71966,                0.99245,               0.009961,               0.009961,               0.009961
                      6,                 1.5449,                0.81375,                 1.0372,                 0.8525,                0.61497,                0.69308,                0.37656,                 1.4224,                0.69273,                0.97861,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.5315,                0.80549,                 1.0335,                0.84311,                0.60287,                0.67806,                  0.359,                 1.4656,                0.70871,                0.98824,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.5212,                0.79205,                 1.0286,                0.85814,                0.61051,                0.69096,                0.37139,                 1.4522,                0.70029,                0.98229,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.5205,                0.79547,                  1.031,                0.85911,                0.61352,                0.69563,                0.37758,                 1.4328,                 0.6959,                0.98202,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.5127,                0.78619,                 1.0311,                0.85052,                0.62135,                0.69638,                0.37626,                 1.4258,                0.68987,                0.97981,              0.0098035,              0.0098035,              0.0098035
                     11,                 1.5119,                0.78447,                 1.0267,                0.85506,                0.61439,                0.69231,                0.37376,                 1.4227,                0.67651,                0.97837,              0.0097577,              0.0097577,              0.0097577
                     12,                 1.5027,                0.77974,                 1.0278,                 0.8587,                0.61681,                0.69671,                0.36961,                 1.4545,                0.68254,                0.98348,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.5055,                0.78055,                 1.0255,                0.85558,                0.61545,                0.68934,                0.36517,                 1.4289,                0.67679,                 0.9772,              0.0096524,              0.0096524,              0.0096524
                     14,                 1.5117,                0.77806,                 1.0249,                0.86267,                0.62494,                0.70671,                0.37728,                  1.427,                0.67306,                0.97766,              0.0095929,              0.0095929,              0.0095929
